"weight"|"lat"|"lon"|"Location"|Create Date|Closed Date|Due Date|CaseType|Case Number                                       
1|29.57443215|-95.51940498|17223 ARTWOOD, HOUSTON TX 77489|2021-02-18 23:09:09.343|2021-02-19 00:34:19.930|2021-02-22 23:09:09.000|Flooding|12454016-101004560388                             
1|29.58523561|-95.20195095|12314 ASTORIA, HOUSTON TX 77089|2021-02-23 23:05:40.023|2021-03-19 16:31:02.050|2021-02-27 23:05:39.000|Flooding|12454252-101004569652                             
1|29.58702662|-95.47112275|Intersection 16400 S POST OAK RD&5480 RIDGEMONT PL|2020-11-27 11:11:34.007|2020-11-27 19:09:19.547|2020-12-01 11:11:33.000|Flooding|12447290-101004420999                             
1|29.58702662|-95.47112275|Intersection 16400 S POST OAK RD&5480 RIDGEMONT PL|2020-12-13 15:13:22.440|2020-12-17 11:57:40.953|2020-12-17 15:13:22.000|Flooding|12448559-101004448047                             
1|29.59036732|-95.19348275|Intersection 12816 ASTORIA BLVD&12100 WESSEX DR|2020-09-22 10:01:22.190|2020-09-22 14:59:19.620|2020-09-26 10:01:21.000|Flooding|12441787-101004284636                             
1|29.5908776|-95.22791018|11014 SAGEMEADOW, HOUSTON TX 77089|2020-07-25 17:23:55.283|2020-07-27 14:04:18.400|2020-07-29 17:23:55.000|Flooding|12435935-101004184813                             
1|29.5917035|-95.22228941|10800 HUGHES, HOUSTON TX 77089|2021-02-15 12:30:48.563|2021-02-15 13:09:31.113|2021-02-19 12:30:48.000|Flooding|12453902-101004544990                             
1|29.59223557|-95.19126901|Intersection 12900 ASTORIA BLVD&14500 GULF FWY|2020-09-22 12:08:16.133|2020-09-24 11:39:19.797|2020-09-26 12:08:15.000|Flooding|12441903-101004284951                             
1|29.59288753|-95.44767108|15821 CLARKE SPRINGS, HOUSTON TX 77053|2021-06-02 19:37:27.827|2021-06-03 06:45:54.963|2021-06-06 19:37:27.000|Flooding|12464429-101004710555                             
1|29.59388686|-95.4670519|15917 POST OAK, HOUSTON TX 77053|2021-05-17 14:45:32.860|2021-05-18 10:53:38.767|2021-05-21 14:45:32.000|Flooding|12461322-101004680127                             
1|29.59396505|-95.44794468|Intersection 15772 CLARKE SPRINGS DR&15700 REDDY LN|2021-05-31 14:04:54.273|2021-05-31 14:26:52.480|2021-06-04 14:04:54.000|Flooding|12464049-101004707274                             
1|29.5947112|-95.44817254|15746 CLARKE SPRINGS, HOUSTON TX 77053|2021-05-26 10:09:33.240|2021-05-27 08:40:48.957|2021-05-30 10:09:33.000|Flooding|12463282-101004701727                             
